# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	2.400000000000000050e-02
20	2.400000000000000050e-02
21	2.400000000000000050e-02
22	2.800000000000000058e-02
23	3.599999999999999728e-02
24	5.999999999999999778e-02
25	1.600000000000000033e-01
26	1.600000000000000033e-01
27	1.600000000000000033e-01
28	1.600000000000000033e-01
29	1.680000000000000104e-01
30	3.119999999999999996e-01
31	3.320000000000000173e-01
32	3.519999999999999796e-01
33	6.640000000000000346e-01
34	6.640000000000000346e-01
35	1.028000000000000025e+00
36	1.076000000000000068e+00
37	1.596000000000000085e+00
38	2.156000000000000139e+00
39	2.168000000000000149e+00
40	2.279999999999999805e+00
41	2.895999999999999908e+00
42	4.491999999999999993e+00
43	3.355999999999999872e+00
44	2.943999999999999950e+00
45	2.740000000000000213e+00
46	2.423999999999999932e+00
47	2.347999999999999865e+00
48	2.184000000000000163e+00
49	2.012000000000000011e+00
50	1.764000000000000012e+00
51	1.231999999999999984e+00
52	1.056000000000000050e+00
53	9.839999999999999858e-01
54	9.479999999999999538e-01
55	9.160000000000000364e-01
56	8.439999999999999725e-01
57	8.319999999999999618e-01
58	7.760000000000000231e-01
59	3.519999999999999796e-01
60	2.640000000000000124e-01
61	6.400000000000000133e-02
62	5.999999999999999778e-02
63	5.199999999999999761e-02
64	3.599999999999999728e-02
65	3.599999999999999728e-02
66	3.599999999999999728e-02
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
134	0.000000000000000000e+00
135	0.000000000000000000e+00
136	0.000000000000000000e+00
137	0.000000000000000000e+00
138	0.000000000000000000e+00
139	0.000000000000000000e+00
140	0.000000000000000000e+00
141	0.000000000000000000e+00
142	0.000000000000000000e+00
143	0.000000000000000000e+00
144	0.000000000000000000e+00
145	0.000000000000000000e+00
146	0.000000000000000000e+00
147	0.000000000000000000e+00
148	0.000000000000000000e+00
149	0.000000000000000000e+00
150	0.000000000000000000e+00
151	0.000000000000000000e+00
152	0.000000000000000000e+00
153	0.000000000000000000e+00
154	0.000000000000000000e+00
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	0.000000000000000000e+00
158	0.000000000000000000e+00
